"VOIE","Caisson1","Caisson2","Caisson3","Caisson4"
"490",,0,0,0
"512",,0,0,0
"629-pc",,0,0,0
"502",,0,0,0
"530",,0,0,0
"520",,0,0,0
"544 - lime",,0,0,0
"480",,0,0,0
"3000K-IRC=83",,0,0,0
"450",,0,0,0
"3000K-IRC=98",,0,0,0
"4000K-IRC=97",,0,0,0
"5600K-IRC=83",,0,0,0
"403",,0,0,0
"440",,0,0,0
"405",,0,0,0
"6500K-IRC=97",,,,
"425",,,,
"410",,,,
"470",,,,
"4000K-IRC=82",,,,
"390",,,,
"2700K-IRC=98",,,,
"5000K-IRC=99",,,,
"590",,,,
"605",,,,
"655",,,,
"660",,,,
"730",,,,
"680",,,,
"620",,,,
"630",,,,
