"VOIE","Caisson1","Caisson2","Caisson3","Caisson4"
"490",100,0,0,0
"512",100,0,0,0
"629-pc",100,0,0,0
"502",100,0,0,0
"530",100,0,0,0
"520",100,0,0,0
"544 - lime",100,0,0,0
"480",100,0,0,0
"3000K-IRC=83",50,0,0,0
"450",100,0,0,0
"3000K-IRC=98",50,0,0,0
"4000K-IRC=97",50,0,0,0
"5600K-IRC=83",50,0,0,0
"403",100,0,0,0
"440",100,0,0,0
"405",100,0,0,0
"6500K-IRC=97",0,,,
"425",0,,,
"410",50,,,
"470",100,,,
"4000K-IRC=82",100,,,
"390",100,,,
"2700K-IRC=98",50,,,
"5000K-IRC=99",100,,,
"590",0,,,
"605",50,,,
"655",50,,,
"660",0,,,
"730",100,,,
"680",100,,,
"620",0,,,
"630",0,,,
