"VOIE","Caisson1","Caisson2","Caisson3","Caisson4"
"490",100,0,0,0
"512",100,0,0,0
"629-pc",100,0,0,0
"502",100,0,0,0
"530",31,0,0,0
"520",13,0,0,0
"544 - lime",31,0,0,0
"480",31,0,0,0
"3000K-IRC=83",31,0,0,0
"450",31,0,0,0
"3000K-IRC=98",31,0,0,0
"4000K-IRC=97",31,0,0,0
"5600K-IRC=83",0,0,0,0
"403",0,0,0,0
"440",0,0,0,0
"405",0,0,0,0
"6500K-IRC=97",0,0,0,0
"425",0,0,0,0
"410",0,0,0,0
"470",0,0,0,0
"4000K-IRC=82",0,0,0,0
"390",0,0,0,0
"2700K-IRC=98",0,0,0,0
"5000K-IRC=99",0,0,0,0
"590",0,0,0,0
"605",0,0,0,0
"655",0,0,0,0
"660",0,0,0,0
"730",0,0,0,0
"680",0,0,0,0
"620",0,0,0,0
"630",0,0,0,0
