VOIE,Caisson1,Caisson2,Caisson3,Caisson4
VOIE,CAISSON 1,CAISSON 2,CAISSON 3,CAISSON 4
490,0,0,0,0
512,0,0,0,0
629-pc,0,0,0,0
502,0,0,0,0
530,20,0,0,0
520,0,0,0,0
544 - lime,0,0,0,0
480,0,0,0,0
3000K-IRC=83,0,0,0,0
450,0,0,0,0
3000K-IRC=98,0,0,0,0
4000K-IRC=97,100,100,100,100
5600K-IRC=83,0,0,0,0
403,0,0,0,0
440,0,0,0,0
405,0,0,0,0
6500K-IRC=97,0,0,0,0
425,0,0,0,0
410,0,0,0,0
470,0,0,0,20
4000K-IRC=82,0,0,0,0
390,0,0,0,0
2700K-IRC=98,0,0,0,0
5000K-IRC=99,0,0,0,0
590,0,0,0,0
605,0,0,0,0
655,0,0,0,0
660,0,0,0,0
730,0,0,0,0
680,0,0,70,0
620,0,50,0,0
